ACTIVITY,DATE,TIME,LOCATION,DISTANCE,CALORIES,OVERALL,AVG_HR,MAX_HR,AVG_CADENCE,MAX_CADENCE,AVG_PACEMIN,BEST_PACEMIN,ELEV_GAIN,ELEV_LOSS,STRIDE,CONSUMED
Running,2020-03-11,17:08,Huntington Beach Running,7.01,692,63.85,160,180,176,190,9.1,2.08,148,161,1,1753
Running,2020-03-12,17:05,Huntington Beach Running,5.01,488,45.57,158,170,179,190,9.1,7.83,617,633,0.99,1515
Running,2020-03-13,16:20,Huntington Beach Running,3.01,294,28.18,154,164,178,187,9.37,8.43,30,30,0.97,1673
Running,2020-03-14,7:22,Huntington Beach Running,4.06,392,36.78,156,167,181,192,9.07,8.33,427,397,0.98,1296
Running,2020-03-15,6:07,Huntington Beach Running,14.63,1399,140.12,155,171,173,194,9.58,7.93,1850,1883,0.97,1331
Running,2020-03-17,18:41,Costa Mesa Running,4.75,498,45.17,160,177,157,215,9.5,5.97,56,46,1.08,995
Running,2020-03-18,16:54,Huntington Beach Running,7.01,734,68.68,159,170,170,249,9.8,7.45,489,463,0.96,1715
Running,2020-03-19,17:21,Costa Mesa Running,5.01,496,44.38,161,179,178,190,8.87,7.93,653,758,1.02,1637
Running,2020-03-23,7:13,Huntington Beach Running,4.01,394,36.63,156,175,180,190,9.13,8.28,292,269,0.98,1679
Running,2020-03-24,16:56,Costa Mesa Running,4.01,386,35.38,158,178,181,192,8.83,7.85,92,230,1.01,1344
Running,2020-03-25,6:33,Huntington Beach Running,7.01,704,64.23,161,172,177,189,9.17,7.98,1194,1240,0.99,1421
Running,2020-03-26,6:44,Huntington Beach Running,4.01,373,36.03,153,172,180,191,8.98,8.1,348,371,1,1878
Running,2020-03-27,6:57,Costa Mesa Running,3.14,298,27.8,159,169,180,189,8.85,8.23,75,253,1.01,1617
Running,2020-03-28,6:20,Costa Mesa Running,4.01,367,35.67,155,173,180,193,8.9,7.85,725,745,1,1839
Running,2020-03-29,7:21,Huntington Beach Running,15,1415,142.93,155,192,172,187,9.53,8.05,863,1004,0.98,1813
Running,2020-03-30,16:21,Huntington Beach Running,2.02,191,18.93,148,164,176,185,9.38,8.28,23,30,0.97,1412
Running,2020-03-31,16:59,Huntington Beach Running,4.04,409,35.95,166,183,176,189,8.9,7.98,791,846,1.02,1418
Running,2020-04-01,16:24,Huntington Beach Running,3.03,296,28.05,159,171,175,188,9.27,8.27,305,351,0.99,1486
Running,2020-04-02,16:49,Huntington Beach Running,6.01,564,53.52,160,177,176,189,8.9,8.23,515,627,1.02,2030
Running,2020-04-04,6:51,Costa Mesa Running,4.01,376,35.97,159,175,180,190,8.97,7.93,30,72,1,1646
Running,2020-04-05,7:57,Huntington Beach Running,10.27,957,96.7,155,169,176,193,9.42,7.33,1745,1929,0.97,1664
Running,2020-04-06,17:15,Huntington Beach Running,2.03,188,18.58,153,163,177,195,9.17,8.35,10,39,0.99,1438
Running,2020-04-07,5:43,Huntington Beach Running,4.01,378,36.97,153,175,180,190,9.22,8.68,404,597,0.97,1660
Running,2020-04-09,16:19,Huntington Beach Running,6.01,580,56.48,155,171,175,187,9.38,7.5,2743,2756,0.98,1798
Running,2020-04-11,6:00,Huntington Beach Running,4.01,389,37.08,157,175,180,189,9.23,8.32,52,79,0.97,1613
Running,2020-04-12,6:56,Costa Mesa Running,11,1031,100.98,156,182,176,188,9.18,8.18,968,1033,1,1875
Running,2020-04-13,8:10,Huntington Beach Running,3.01,280,27.08,154,169,177,185,9,8.15,59,66,1.01,1505
Running,2020-04-14,7:26,Huntington Beach Running,6.01,607,54.28,165,195,179,189,9.03,6.62,230,535,0.99,1586
Running,2020-04-15,7:22,Costa Mesa Running,5.04,453,44.77,151,167,180,189,8.88,7.45,138,486,1,1488
Running,2020-04-16,6:43,Costa Mesa Running,4.01,371,35.95,154,163,179,187,8.97,8.27,23,246,1,1408
Running,2020-04-17,6:55,Huntington Beach Running,2.01,182,18.92,143,160,177,188,9.42,8.5,33,144,0.96,1409
Running,2020-04-18,7:11,Costa Mesa Running,4.02,380,36.53,153,169,176,197,9.1,7.33,347,302,1.01,1612
Running,2020-04-19,7:30,Huntington Beach Running,10.01,915,91.88,153,171,176,189,9.18,7.7,180,197,1,1597
Running,2020-04-20,17:07,Huntington Beach Running,2.04,194,18.78,152,163,173,180,9.18,8.45,56,200,1.01,1161
Running,2020-04-22,5:28,Huntington Beach Running,4.01,377,35.85,156,171,178,187,8.95,8.22,262,394,1.01,1470
Running,2020-04-23,16:29,Costa Mesa Running,6.01,611,54.27,165,192,173,187,9.03,7.82,46,16,1.03,1495
Running,2020-04-25,7:34,Huntington Beach Running,4.01,371,35.73,154,178,179,188,8.9,7.98,36,374,1.01,1701
Running,2020-04-26,7:07,Huntington Beach Running,10.01,917,92.62,152,173,174,243,9.25,7.98,853,883,1,1626
Running,2020-04-27,17:26,Huntington Beach Running,2.2,215,20.12,156,165,176,184,9.13,8.38,16,102,1,1431
Running,2020-04-28,17:44,Costa Mesa Running,5.01,480,43.47,162,186,178,249,8.68,7.92,102,302,1.04,1479
Running,2020-04-30,16:34,Huntington Beach Running,4,410,37.22,163,191,174,187,9.3,8.03,1148,1171,1,1547
Running,2020-05-01,5:35,Huntington Beach Running,3.01,282,27.83,154,177,173,187,9.27,8.17,141,157,1,1658
Running,2020-05-02,6:02,Costa Mesa Running,4.01,368,35.78,155,170,176,184,8.92,8.15,436,633,1.02,1633
